iter	Passed	Remaining
0	60	18013
1	61	9177
2	62	6181
3	63	4723
4	65	3849
5	66	3234
6	66	2786
7	67	2452
8	67	2189
9	69	2003
10	69	1829
11	70	1699
12	72	1608
13	73	1498
14	74	1406
15	74	1329
16	75	1261
17	76	1198
18	77	1149
19	78	1096
20	79	1058
21	80	1015
22	81	975
23	81	938
24	82	904
25	82	873
26	83	845
27	84	817
28	84	791
29	85	766
30	85	743
31	86	724
32	87	705
33	87	685
34	88	667
35	89	657
36	90	640
37	90	624
38	90	608
39	91	594
40	91	579
41	92	566
42	92	553
43	92	541
44	93	528
45	93	517
46	94	506
47	94	497
48	95	489
49	95	479
50	96	470
51	96	461
52	97	453
53	97	445
54	98	439
55	99	431
56	99	424
57	99	416
58	100	409
59	100	402
60	101	396
61	101	390
62	101	383
63	102	378
64	102	372
65	103	366
66	103	361
67	104	355
68	104	350
69	105	346
70	105	341
71	106	336
72	106	331
73	107	327
74	107	323
75	108	319
76	108	315
77	109	311
78	109	306
79	110	302
80	110	298
81	111	296
82	112	293
83	112	289
84	113	286
85	113	283
86	114	279
87	114	276
88	115	273
89	115	270
90	116	267
91	116	263
92	117	260
93	117	258
94	118	255
95	118	252
96	119	249
97	119	246
98	119	243
99	120	241
100	121	238
101	121	236
102	122	233
103	122	231
104	123	228
105	123	226
106	124	224
107	124	221
108	125	219
109	125	217
110	126	215
111	126	212
112	127	210
113	127	208
114	128	207
115	129	205
116	130	203
117	130	201
118	131	199
119	131	197
120	132	195
121	132	193
122	133	192
123	133	190
124	134	188
125	135	186
126	135	185
127	136	183
128	137	181
129	138	181
130	139	179
131	139	177
132	140	176
133	141	174
134	141	173
135	142	171
136	142	169
137	143	168
138	143	166
139	144	165
140	145	163
141	145	162
142	146	160
143	147	159
144	147	158
145	148	156
146	148	154
147	149	153
148	149	151
149	150	150
150	150	148
151	151	147
152	151	145
153	152	144
154	152	143
155	153	141
156	154	140
157	154	139
158	155	137
159	155	136
160	156	135
161	157	133
162	157	132
163	158	131
164	158	129
165	158	128
166	159	126
167	160	125
168	160	124
169	161	123
170	161	122
171	162	120
172	162	119
173	163	118
174	163	117
175	164	115
176	165	114
177	165	113
178	166	112
179	166	110
180	166	109
181	167	108
182	167	107
183	168	106
184	169	105
185	169	104
186	170	102
187	170	101
188	171	100
189	172	99
190	172	98
191	173	97
192	173	96
193	174	95
194	174	94
195	175	92
196	175	91
197	176	90
198	176	89
199	177	88
200	177	87
201	178	86
202	178	85
203	178	84
204	179	83
205	180	82
206	180	81
207	180	80
208	181	79
209	181	77
210	182	76
211	182	75
212	183	74
213	183	73
214	184	72
215	184	71
216	185	70
217	186	70
218	186	69
219	187	68
220	188	67
221	188	66
222	189	65
223	189	64
224	190	63
225	190	62
226	191	61
227	191	60
228	192	59
229	192	58
230	193	57
231	193	56
232	194	55
233	194	54
234	195	54
235	195	53
236	196	52
237	197	51
238	197	50
239	198	49
240	198	48
241	199	47
242	199	46
243	200	45
244	200	45
245	201	44
246	202	43
247	202	42
248	203	41
249	203	40
250	204	39
251	205	39
252	205	38
253	206	37
254	206	36
255	207	35
256	207	34
257	208	33
258	208	33
259	209	32
260	209	31
261	210	30
262	211	29
263	211	28
264	212	28
265	212	27
266	213	26
267	213	25
268	214	24
269	214	23
270	215	23
271	215	22
272	216	21
273	216	20
274	217	19
275	217	18
276	218	18
277	219	17
278	219	16
279	220	15
280	220	14
281	221	14
282	221	13
283	222	12
284	222	11
285	223	10
286	224	10
287	225	9
288	225	8
289	226	7
290	226	7
291	227	6
292	227	5
293	228	4
294	228	3
295	229	3
296	229	2
297	230	1
298	230	0
299	231	0
